Date,MarketCap
5/4/14,5551993638
5/7/14,5690164673
5/10/14,5769316393
5/13/14,5602955328
5/16/14,5743344319
5/19/14,5709600195
5/22/14,6706644944
5/25/14,7368495625
5/28/14,7366729895
5/31/14,7965213010
6/3/14,8660592155
6/6/14,8435141763
6/9/14,8380284372
6/12/14,7950831675
6/15/14,7230054767
6/18/14,7807381180
6/21/14,7639387911
6/24/14,7576975431
6/27/14,7629370138
6/30/14,8038858000
7/3/14,8357159646
7/6/14,8240549911
7/9/14,8122404507
7/12/14,8222628582
7/15/14,8114810685
7/18/14,8209721212
7/21/14,8077594532
7/24/14,7849862761
7/27/14,7743439126
7/30/14,7501333455
8/2/14,7745258967
8/5/14,7602346578
8/8/14,7728389582
8/11/14,7600645789
8/14/14,6854912355
8/17/14,6469722234
8/20/14,6679378133
8/23/14,6640470759
8/26/14,6763841117
8/29/14,6759791170
9/1/14,6377861181
9/4/14,6428625750
9/7/14,6363240583
9/10/14,6426974895
9/13/14,6364467156
9/16/14,6212863800
9/19/14,5300749488
9/22/14,5333585348
9/25/14,5432891464
9/28/14,5063025000
10/1/14,5137430974
10/4/14,4484062800
10/7/14,4417374855
10/10/14,4798872497
10/13/14,5103763143
10/16/14,5061867360
10/19/14,5213010586
10/22/14,5165201888
10/25/14,4683525527
10/28/14,4768547912
10/31/14,4584899554
11/3/14,4385207114
11/6/14,4687412655
11/9/14,4804211514
11/12/14,5802913007
11/15/14,5038882560
11/18/14,5134550134
11/21/14,4827117113
11/24/14,5198006400
11/27/14,5047706146
11/30/14,5097293877
12/3/14,5132181106
12/6/14,5079337165
12/9/14,4760292227
12/12/14,4829389818
12/15/14,4793307333
12/18/14,4327558493
12/21/14,4456636201
12/24/14,4469253042
12/27/14,4293704693
12/30/14,4278907103
1/2/15,4324528909
1/5/15,3789717240
1/8/15,3792762040
1/11/15,3733411894
1/14/15,2422228638
1/17/15,2707305216
1/20/15,2927526251
1/23/15,3205368430
1/26/15,3736655602
1/29/15,3212507057
2/1/15,3043276324
2/4/15,3071111004
2/7/15,3109769195
